Page 0, Question 1, Row: 1, Column: 1, Prediction: A
Page 0, Question 2, Row: 2, Column: 1, Prediction: B
Page 0, Question 3, Row: 3, Column: 1, Prediction: A
Page 0, Question 4, Row: 4, Column: 1, Prediction: A
Page 0, Question 5, Row: 5, Column: 1, Prediction: C
Page 0, Question 6, Row: 6, Column: 1, Prediction: D
Page 0, Question 7, Row: 7, Column: 1, Prediction: D
Page 0, Question 8, Row: 8, Column: 1, Prediction: D
Page 0, Question 9, Row: 9, Column: 1, Prediction: B
Page 0, Question 10, Row: 10, Column: 1, Prediction: A
Page 0, Question 11, Row: 11, Column: 1, Prediction: E
Page 0, Question 12, Row: 12, Column: 1, Prediction: B
Page 0, Question 13, Row: 13, Column: 1, Prediction: A
Page 0, Question 14, Row: 14, Column: 1, Prediction: D
Page 0, Question 15, Row: 15, Column: 1, Prediction: B
Page 0, Question 16, Row: 16, Column: 1, Prediction: A
Page 0, Question 17, Row: 17, Column: 1, Prediction: C
Page 0, Question 18, Row: 18, Column: 1, Prediction: A
Page 0, Question 19, Row: 19, Column: 1, Prediction: B
Page 0, Question 20, Row: 20, Column: 1, Prediction: B
Page 0, Question 21, Row: 21, Column: 1, Prediction: B
Page 0, Question 22, Row: 22, Column: 1, Prediction: D
Page 0, Question 23, Row: 23, Column: 1, Prediction: B
Page 0, Question 24, Row: 24, Column: 1, Prediction: D
Page 0, Question 25, Row: 25, Column: 1, Prediction: A
Page 0, Question 26, Row: 26, Column: 1, Prediction: C
Page 0, Question 27, Row: 27, Column: 1, Prediction: B
Page 0, Question 28, Row: 28, Column: 1, Prediction: C
Page 0, Question 29, Row: 29, Column: 1, Prediction: B
Page 0, Question 30, Row: 30, Column: 1, Prediction: A
Page 0, Question 31, Row: 1, Column: 2, Prediction: A
Page 0, Question 32, Row: 2, Column: 2, Prediction: C
Page 0, Question 33, Row: 3, Column: 2, Prediction: B
Page 0, Question 34, Row: 4, Column: 2, Prediction: A
Page 0, Question 35, Row: 5, Column: 2, Prediction: D
Page 0, Question 36, Row: 6, Column: 2, Prediction: A
Page 0, Question 37, Row: 7, Column: 2, Prediction: C
Page 0, Question 38, Row: 8, Column: 2, Prediction: D
Page 0, Question 39, Row: 9, Column: 2, Prediction: B
Page 0, Question 40, Row: 10, Column: 2, Prediction: A
Page 0, Question 41, Row: 11, Column: 2, Prediction: D
Page 0, Question 42, Row: 12, Column: 2, Prediction: B
Page 0, Question 43, Row: 13, Column: 2, Prediction: D
Page 0, Question 44, Row: 14, Column: 2, Prediction: B
Page 0, Question 45, Row: 15, Column: 2, Prediction: D
Page 0, Question 46, Row: 16, Column: 2, Prediction: C
Page 0, Question 47, Row: 17, Column: 2, Prediction: B
Page 0, Question 48, Row: 18, Column: 2, Prediction: C
Page 0, Question 49, Row: 19, Column: 2, Prediction: A
Page 0, Question 50, Row: 20, Column: 2, Prediction: C
Page 0, Question 51, Row: 21, Column: 2, Prediction: C
Page 0, Question 52, Row: 22, Column: 2, Prediction: B
Page 0, Question 53, Row: 23, Column: 2, Prediction: D
Page 0, Question 54, Row: 24, Column: 2, Prediction: B
Page 0, Question 55, Row: 25, Column: 2, Prediction: A
Page 0, Question 56, Row: 26, Column: 2, Prediction: B
Page 0, Question 57, Row: 27, Column: 2, Prediction: C
Page 0, Question 58, Row: 28, Column: 2, Prediction: B
Page 0, Question 59, Row: 29, Column: 2, Prediction: A
Page 0, Question 60, Row: 30, Column: 2, Prediction: D
Page 0, Question 61, Row: 1, Column: 3, Prediction: B
Page 0, Question 62, Row: 2, Column: 3, Prediction: B
Page 0, Question 63, Row: 3, Column: 3, Prediction: D
Page 0, Question 64, Row: 4, Column: 3, Prediction: B
Page 0, Question 65, Row: 5, Column: 3, Prediction: A
Page 0, Question 66, Row: 6, Column: 3, Prediction: B
Page 0, Question 67, Row: 7, Column: 3, Prediction: E
