Page,Question Number,Row,Column,Prediction
0,1,1,1,A
0,2,2,1,B
0,3,3,1,C
0,4,4,1,B
0,5,5,1,C
0,6,6,1,D
0,7,7,1,D
0,8,8,1,D
0,9,9,1,B
0,10,10,1,A
0,11,11,1,E
0,12,12,1,B
0,13,13,1,A
0,14,14,1,D
0,15,15,1,B
0,16,16,1,A
0,17,17,1,C
0,18,18,1,A
0,19,19,1,B
0,20,20,1,B
0,21,21,1,B
0,22,22,1,D
0,23,23,1,B
0,24,24,1,D
0,25,25,1,A
0,26,26,1,C
0,27,27,1,B
0,28,28,1,C
0,29,29,1,B
0,30,30,1,A
0,31,1,2,A
0,32,2,2,C
0,33,3,2,B
0,34,4,2,A
0,35,5,2,D
0,36,6,2,A
0,37,7,2,C
0,38,8,2,D
0,39,9,2,B
0,40,10,2,A
0,41,11,2,D
0,42,12,2,B
0,43,13,2,D
0,44,14,2,B
0,45,15,2,D
0,46,16,2,C
0,47,17,2,B
0,48,18,2,C
0,49,19,2,A
0,50,20,2,C
0,51,21,2,C
0,52,22,2,B
0,53,23,2,D
0,54,24,2,B
0,55,25,2,A
0,56,26,2,B
0,57,27,2,C
0,58,28,2,B
0,59,29,2,A
0,60,30,2,D
0,61,1,3,B
0,62,2,3,B
0,63,3,3,D
0,64,4,3,B
0,65,5,3,A
0,66,6,3,B
0,67,7,3,E
0,68,8,3,A
0,69,9,3,C
0,70,10,3,A
0,71,11,3,B
0,72,12,3,D
0,73,13,3,B
0,74,14,3,A
0,75,15,3,E
0,76,16,3,B
0,77,17,3,B
0,78,18,3,A
0,79,19,3,C
0,80,20,3,B
0,81,21,3,B
0,82,22,3,D
0,83,23,3,B
0,84,24,3,E
0,85,25,3,C
0,86,26,3,A
0,87,27,3,B
0,88,28,3,D
0,89,29,3,E
0,90,30,3,A
0,91,1,4,B
0,92,2,4,C
0,93,3,4,E
0,94,4,4,A
0,95,5,4,C
0,96,6,4,A
0,97,7,4,C
0,98,8,4,A
0,99,9,4,C
0,100,10,4,A
0,101,11,4,D
0,102,12,4,B
0,103,13,4,B
0,104,14,4,E
0,105,15,4,A
0,106,16,4,A
0,107,17,4,C
0,108,18,4,B
0,109,19,4,E
0,110,20,4,B
0,111,21,4,A
0,112,22,4,D
0,113,23,4,B
0,114,24,4,A
0,115,25,4,B
0,116,26,4,C
0,117,27,4,B
0,118,28,4,A
0,119,29,4,C
0,120,30,4,B
